date,TMAX,TMIN,PRCP,state_ansi,county_ansi
2018-05-15,72.92146596858639,48.921052631578945,0.3602908277404922,26,
2018-05-16,,,0.03337209302325581,26,
2018-06-15,78.69148936170212,51.1764705882353,0.02204030226700252,26,
2018-06-16,78.42857142857143,55.5,0.16330232558139535,26,
2018-07-16,87.44736842105263,65.15957446808511,0.07607142857142857,26,
2018-07-17,,,0.19514851485148516,26,
2018-08-16,82.17341040462428,62.27167630057804,0.027487179487179488,26,
2018-08-17,80.76470588235294,60.3125,0.11532467532467533,26,
2018-09-16,82.20879120879121,58.75690607734806,0.0010831234256926951,26,
2018-09-17,85.41666666666667,59.75,0.0001388888888888889,26,
2018-05-15,65.0,46.5,0.022500000000000003,26,007
2018-05-16,74.5,40.0,0.0,26,007
2018-05-17,68.5,43.5,0.0,26,007
2018-05-18,58.0,39.5,0.0,26,007
2018-05-19,55.0,46.0,0.3233333333333333,26,007
2018-05-20,59.0,42.0,0.34,26,007
2018-05-21,65.0,40.5,0.0,26,007
2018-05-22,68.0,49.5,0.02,26,007
2018-05-23,74.5,49.0,0.01,26,007
2018-05-24,83.0,51.0,0.0,26,007
2018-05-25,84.5,55.5,0.0,26,007
2018-05-26,86.5,57.5,0.0525,26,007
2018-05-27,79.0,54.5,0.025,26,007
2018-05-28,83.0,57.0,0.0,26,007
2018-05-29,73.5,57.0,0.0,26,007
2018-05-30,69.0,57.0,0.0,26,007
2018-05-31,77.5,59.5,0.4225,26,007
2018-06-01,75.5,57.5,0.0925,26,007
2018-06-02,64.0,45.5,0.0,26,007
2018-06-03,66.0,50.0,0.1725,26,007
2018-06-04,68.0,52.5,0.28750000000000003,26,007
2018-06-05,64.5,46.5,0.0075,26,007
2018-06-06,64.5,42.0,0.0,26,007
2018-06-07,69.5,47.5,0.0,26,007
2018-06-08,73.0,48.0,0.0,26,007
2018-06-09,70.0,50.0,0.0,26,007
2018-06-10,69.5,48.5,0.0025,26,007
2018-06-11,71.0,47.5,0.0,26,007
2018-06-12,72.0,46.0,0.0,26,007
2018-06-13,71.0,57.5,0.01,26,007
2018-06-14,77.0,53.5,0.0225,26,007
2018-06-15,77.0,50.5,0.0,26,007
2018-06-16,77.0,57.0,0.0,26,007
2018-06-17,83.5,58.0,0.0,26,007
2018-06-18,88.0,65.5,0.0075,26,007
2018-06-19,75.0,53.0,0.02,26,007
2018-06-20,75.0,50.0,0.0,26,007
2018-06-21,73.0,49.0,0.0,26,007
2018-06-22,68.5,43.5,0.0,26,007
2018-06-23,65.5,54.5,0.12,26,007
2018-06-24,64.5,53.0,0.0575,26,007
2018-06-25,67.5,47.5,0.0025,26,007
2018-06-26,70.5,42.0,0.0,26,007
2018-06-27,71.5,53.5,0.0,26,007
2018-06-28,79.5,56.0,0.0,26,007
2018-06-29,91.0,58.5,0.0,26,007
2018-06-30,93.5,71.5,0.0,26,007
2018-07-01,97.5,71.0,0.0025,26,007
2018-07-02,90.5,65.0,0.0,26,007
2018-07-03,84.5,61.0,0.0,26,007
2018-07-04,87.5,64.0,0.01,26,007
2018-07-05,85.0,67.5,0.05,26,007
2018-07-06,84.5,55.5,0.295,26,007
2018-07-07,81.0,50.0,0.0,26,007
2018-07-08,84.0,55.5,0.0,26,007
2018-07-09,91.0,65.5,0.0,26,007
2018-07-10,89.5,59.0,0.0,26,007
2018-07-11,82.5,57.0,0.0,26,007
2018-07-12,78.5,56.0,0.0,26,007
2018-07-13,85.0,63.5,0.1625,26,007
2018-07-14,83.5,65.0,0.3775,26,007
2018-07-15,82.5,62.5,0.18,26,007
2018-07-16,86.0,66.5,0.0975,26,007
2018-07-17,80.5,57.0,1.0675,26,007
2018-07-18,75.5,51.0,0.0,26,007
2018-07-19,78.5,51.0,0.0,26,007
2018-07-20,78.0,60.0,0.0025,26,007
2018-07-21,73.0,67.0,0.0875,26,007
2018-07-22,74.5,65.0,0.1325,26,007
2018-07-23,75.0,64.0,0.165,26,007
2018-07-24,75.5,65.5,0.25,26,007
2018-07-25,80.0,60.0,0.155,26,007
2018-07-26,81.0,61.0,0.06,26,007
2018-07-27,76.5,57.5,0.053333333333333344,26,007
2018-07-28,74.5,55.0,0.04,26,007
2018-07-29,79.0,52.5,0.0033333333333333335,26,007
2018-07-30,82.5,54.5,0.03,26,007
2018-07-31,81.5,55.0,0.0,26,007
2018-08-01,82.0,60.5,0.0325,26,007
2018-08-02,81.0,61.0,0.2075,26,007
2018-08-03,77.0,61.0,0.37750000000000006,26,007
2018-08-04,81.0,59.0,0.005,26,007
2018-08-05,87.5,65.5,0.0,26,007
2018-08-06,86.5,69.0,0.0025,26,007
2018-08-07,75.5,62.5,0.02,26,007
2018-08-08,79.0,61.5,0.0,26,007
