state_name,asd_desc,county_ansi,source_desc,state_alpha,county_code,state_fips_code,county_name,statisticcat_desc,CV (%),year,country_code,load_time,end_code,class_desc,domain_desc,watershed_desc,country_name,commodity_desc,domaincat_desc,freq_desc,congr_district_code,region_desc,location_desc,reference_period_desc,week_ending,agg_level_desc,unit_desc,sector_desc,watershed_code,asd_code,group_desc,Value,state_ansi,util_practice_desc,prodn_practice_desc,short_desc,zip_5,begin_code
MICHIGAN,NORTHEAST,,SURVEY,MI,998,26,OTHER (COMBINED) COUNTIES,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,30,FIELD CROPS,131.3,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,NORTHEAST,007,SURVEY,MI,007,26,ALPENA,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, NORTHEAST, ALPENA",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,30,FIELD CROPS,128.2,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,NORTHEAST,031,SURVEY,MI,031,26,CHEBOYGAN,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, NORTHEAST, CHEBOYGAN",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,30,FIELD CROPS,109.1,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,NORTHEAST,069,SURVEY,MI,069,26,IOSCO,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, NORTHEAST, IOSCO",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,30,FIELD CROPS,140,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,NORTHEAST,119,SURVEY,MI,119,26,MONTMORENCY,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, NORTHEAST, MONTMORENCY",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,30,FIELD CROPS,125,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,NORTHEAST,129,SURVEY,MI,129,26,OGEMAW,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, NORTHEAST, OGEMAW",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,30,FIELD CROPS,129.5,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,NORTHEAST,141,SURVEY,MI,141,26,PRESQUE ISLE,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, NORTHEAST, PRESQUE ISLE",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,30,FIELD CROPS,119.1,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,WEST CENTRAL,085,SURVEY,MI,085,26,LAKE,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, WEST CENTRAL, LAKE",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,40,FIELD CROPS,115,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,WEST CENTRAL,105,SURVEY,MI,105,26,MASON,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, WEST CENTRAL, MASON",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,40,FIELD CROPS,131.8,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,WEST CENTRAL,121,SURVEY,MI,121,26,MUSKEGON,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, WEST CENTRAL, MUSKEGON",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,40,FIELD CROPS,144.4,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
