date,TMAX,TMIN,PRCP,state_ansi,county_ansi
1999-05-15,72.28776978417267,45.32142857142857,0.0063313609467455624,26,
1999-05-16,75.5036496350365,52.78260869565217,0.04263473053892216,26,
1999-05-17,79.02857142857142,55.911764705882355,0.2426829268292683,26,
1999-06-15,64.07194244604317,40.42142857142857,0.010292397660818714,26,
1999-06-16,63.64748201438849,43.93571428571428,0.015588235294117646,26,
1999-06-17,65.48387096774194,43.83870967741935,0.0241025641025641,26,
1999-07-16,87.42307692307692,67.01526717557252,0.02425,26,
1999-07-17,85.37209302325581,65.6923076923077,0.19751552795031058,26,
1999-07-18,82.26530612244898,61.58,0.1585,26,
1999-08-16,78.64963503649635,56.05882352941177,0.0642603550295858,26,
1999-08-17,79.48175182481752,59.5985401459854,0.007294117647058823,26,
1999-08-18,76.88571428571429,56.05714285714286,0.010454545454545454,26,
1999-09-16,66.48175182481752,41.75912408759124,0.006024096385542169,26,
1999-09-17,69.00729927007299,41.14598540145985,0.0,26,
1999-09-18,72.52631578947368,42.0,0.0,26,
1999-05-15,67.5,38.5,0.0,26,041
1999-05-16,65.0,46.5,0.0,26,041
1999-05-17,66.0,51.5,0.39,26,041
1999-05-18,74.5,53.0,0.155,26,041
1999-05-19,60.0,40.5,0.015,26,041
1999-05-20,59.0,43.5,0.07,26,041
1999-05-21,67.0,50.0,0.6799999999999999,26,041
1999-05-22,67.5,45.0,0.015,26,041
1999-05-23,63.5,46.0,0.105,26,041
1999-05-24,54.0,39.5,0.57,26,041
1999-05-25,46.0,39.5,0.07500000000000001,26,041
1999-05-26,51.5,40.5,0.01,26,041
1999-05-27,72.5,43.0,0.0,26,041
1999-05-28,81.0,44.0,0.0,26,041
1999-05-29,78.5,48.5,0.0,26,041
1999-05-30,82.5,54.0,0.315,26,041
1999-05-31,76.5,54.5,0.0,26,041
1999-06-01,67.5,41.0,0.79,26,041
1999-06-02,60.0,41.0,0.0,26,041
1999-06-03,64.5,41.0,0.0,26,041
1999-06-04,69.0,42.5,0.0,26,041
1999-06-05,66.0,47.0,0.015,26,041
1999-06-06,74.0,54.5,0.55,26,041
1999-06-07,81.0,60.5,0.14,26,041
1999-06-08,83.0,60.5,0.0,26,041
1999-06-09,82.0,57.0,0.355,26,041
1999-06-10,78.5,58.0,0.005,26,041
1999-06-11,81.5,61.5,0.19,26,041
1999-06-12,77.5,63.0,0.0,26,041
1999-06-13,78.0,53.5,0.0,26,041
1999-06-14,71.0,52.0,0.33999999999999997,26,041
1999-06-15,59.0,37.0,0.0,26,041
1999-06-16,64.5,37.5,0.01,26,041
1999-06-17,60.0,36.5,0.02,26,041
1999-06-18,68.0,44.5,0.005,26,041
1999-06-19,75.5,48.5,0.0,26,041
1999-06-20,70.0,47.5,0.0,26,041
1999-06-21,75.0,48.5,0.0,26,041
1999-06-22,72.0,51.0,0.0,26,041
1999-06-23,75.5,59.5,0.0,26,041
1999-06-24,75.0,61.5,0.2,26,041
1999-06-25,87.0,58.5,0.0,26,041
1999-06-26,86.0,62.5,0.0,26,041
1999-06-27,82.0,61.5,0.0,26,041
1999-06-28,84.0,57.0,1.0350000000000001,26,041
1999-06-29,75.5,48.5,0.41500000000000004,26,041
1999-06-30,74.0,49.5,0.0,26,041
1999-07-01,70.0,52.0,0.595,26,041
1999-07-02,68.0,53.0,0.665,26,041
1999-07-03,74.5,53.5,0.0,26,041
1999-07-04,73.5,64.5,0.935,26,041
1999-07-05,88.5,69.0,0.0,26,041
1999-07-06,85.5,63.5,1.035,26,041
1999-07-07,82.0,57.0,0.0,26,041
1999-07-08,81.0,49.5,0.0,26,041
1999-07-09,70.0,53.5,1.0750000000000002,26,041
1999-07-10,69.5,50.0,0.4,26,041
1999-07-11,73.0,50.0,0.0,26,041
1999-07-12,79.5,53.0,0.125,26,041
1999-07-13,79.0,56.5,0.0,26,041
1999-07-14,77.5,64.0,0.0,26,041
1999-07-15,78.0,64.0,0.0,26,041
1999-07-16,83.0,68.0,0.0,26,041
1999-07-17,82.0,67.0,1.7999999999999998,26,041
1999-07-18,85.5,57.5,0.0,26,041
1999-07-19,75.0,60.0,0.15000000000000002,26,041
1999-07-20,79.0,53.0,0.0,26,041
1999-07-21,76.0,59.5,0.0,26,041
1999-07-22,79.0,61.0,0.245,26,041
1999-07-23,85.5,64.0,0.0,26,041
1999-07-24,83.5,66.5,0.165,26,041
1999-07-25,92.0,64.0,0.0,26,041
1999-07-26,85.5,65.5,0.165,26,041
1999-07-27,87.0,59.0,0.0,26,041
1999-07-28,86.0,55.0,0.005,26,041
1999-07-29,88.0,68.0,0.32,26,041
1999-07-30,91.5,62.0,0.26,26,041
1999-07-31,89.5,62.0,0.9950000000000001,26,041
1999-08-01,86.5,55.5,0.0,26,041
1999-08-02,77.0,52.5,0.0,26,041
1999-08-03,79.0,55.5,0.0,26,041
1999-08-04,76.0,54.0,0.065,26,041
1999-08-05,77.5,47.5,0.225,26,041
1999-08-06,78.0,48.0,0.07,26,041
1999-08-07,75.5,52.5,0.02,26,041
1999-08-08,79.0,55.5,0.31000000000000005,26,041
1999-08-09,68.5,44.5,0.005,26,041
1999-08-10,69.5,49.5,0.5,26,041
1999-08-11,72.0,54.0,0.01,26,041
1999-08-12,80.5,52.5,0.1,26,041
1999-08-13,74.0,61.0,1.085,26,041
1999-08-14,66.5,49.0,0.28,26,041
1999-08-15,75.0,48.5,0.0,26,041
1999-08-16,74.5,53.0,0.37,26,041
1999-08-17,80.0,59.0,0.0,26,041
1999-08-18,73.5,48.5,0.01,26,041
1999-08-19,64.5,51.0,0.01,26,041
1999-08-20,74.0,48.0,0.0,26,041
1999-08-21,75.0,47.5,0.0,26,041
1999-08-22,75.5,53.0,0.0,26,041
1999-08-23,78.0,62.0,0.005,26,041
1999-08-24,70.5,62.5,0.0,26,041
1999-08-25,80.0,58.5,0.0,26,041
1999-08-26,82.5,57.5,0.0,26,041
1999-08-27,78.0,58.5,0.0,26,041
1999-08-28,90.0,61.5,0.0,26,041
1999-08-29,81.5,48.5,0.0,26,041
1999-08-30,67.5,40.5,0.0,26,041
1999-08-31,68.0,47.5,0.0,26,041
1999-09-01,73.5,55.0,0.0,26,041
1999-09-02,77.0,55.0,0.0,26,041
1999-09-03,83.0,57.5,0.0,26,041
1999-09-04,82.0,65.5,0.0,26,041
1999-09-05,81.5,58.0,0.0,26,041
1999-09-06,79.5,56.5,0.16999999999999998,26,041
1999-09-07,73.0,45.5,0.0,26,041
1999-09-08,73.5,45.5,0.03,26,041
1999-09-09,78.0,51.0,0.045,26,041
1999-09-10,72.5,47.5,0.04,26,041
1999-09-11,64.5,45.0,0.07,26,041
1999-09-12,68.0,44.0,0.0,26,041
1999-09-13,69.0,48.0,0.02,26,041
1999-09-14,65.0,44.5,0.03,26,041
1999-09-15,64.0,42.0,0.015,26,041
1999-09-16,65.5,38.0,0.0,26,041
1999-09-17,69.5,38.0,0.0,26,041
1999-09-18,70.0,38.0,0.0,26,041
1999-09-19,71.5,41.5,0.0,26,041
1999-09-20,69.0,44.0,0.46499999999999997,26,041
1999-09-21,56.0,30.0,0.030000000000000002,26,041
1999-09-22,57.0,31.0,0.0,26,041
1999-09-23,70.0,37.5,0.005,26,041
1999-09-24,64.0,42.5,0.0,26,041
1999-09-25,64.0,34.5,0.015,26,041
1999-09-26,63.0,33.0,0.0,26,041
1999-09-27,71.5,52.0,0.135,26,041
1999-09-28,56.0,46.5,0.48,26,041
1999-09-29,55.5,45.5,0.085,26,041
1999-09-30,65.5,32.0,0.04,26,041
1999-10-01,65.5,32.0,0.0,26,041
1999-10-02,56.0,38.5,0.0,26,041
1999-10-03,52.5,26.5,0.0,26,041
1999-10-04,46.0,24.0,0.0,26,041
1999-10-05,53.5,23.5,0.01,26,041
1999-10-06,58.0,29.0,0.005,26,041
1999-10-07,48.5,27.5,0.0,26,041
1999-10-08,56.5,41.5,0.225,26,041
1999-10-09,58.5,37.0,0.7050000000000001,26,041
1999-10-10,61.5,37.0,0.005,26,041
1999-10-11,65.0,36.5,0.0,26,041
1999-10-12,63.0,37.5,0.0,26,041
1999-10-13,60.5,44.5,0.0,26,041
1999-10-14,48.5,29.0,0.0,26,041
1999-10-15,51.5,37.5,0.22,26,041
1999-05-15,68.0,38.0,0.0,26,109
1999-05-16,70.0,49.0,0.02,26,109
1999-05-17,73.0,56.0,0.69,26,109
1999-05-18,77.0,55.0,0.285,26,109
1999-05-19,62.0,40.0,0.0,26,109
1999-05-20,62.0,48.0,0.03,26,109
