date,TMAX,TMIN,PRCP,state_ansi,county_ansi
1996-05-15,59.48672566371681,40.32743362831859,0.04151515151515152,26,
1996-05-16,60.964285714285715,46.24107142857143,0.039922480620155035,26,
1996-05-17,67.03296703296704,47.0989010989011,0.0305607476635514,26,
1996-06-15,80.20183486238533,52.41818181818182,0.00015625,26,
1996-06-16,78.41818181818182,54.06363636363636,0.052442748091603056,26,
1996-06-17,73.78494623655914,56.93617021276596,0.30643478260869567,26,
1996-07-16,80.49549549549549,57.52252252252252,0.03881889763779527,26,
1996-07-17,83.6036036036036,58.567567567567565,0.017054263565891473,26,
1996-07-18,82.3586956521739,62.55434782608695,0.20663793103448275,26,
1996-08-16,74.91150442477876,54.743362831858406,0.005238095238095239,26,
1996-08-17,79.22321428571429,52.607142857142854,0.002578125,26,
1996-08-18,82.19354838709677,53.75,0.0,26,
1996-09-16,62.875,47.848214285714285,0.0434108527131783,26,
1996-09-17,65.18260869565218,49.52173913043478,0.025190839694656488,26,
1996-09-18,67.41573033707866,45.60674157303371,0.010555555555555556,26,
1996-05-15,59.0,45.0,0.0,26,041
1996-05-16,54.5,42.0,0.0,26,041
1996-05-17,61.0,44.5,0.0,26,041
1996-05-18,63.0,46.0,0.025,26,041
1996-05-19,79.0,48.5,0.215,26,041
1996-05-20,72.5,48.0,0.01,26,041
1996-05-21,69.5,42.0,0.0,26,041
1996-05-22,67.0,48.0,0.0,26,041
1996-05-23,68.5,39.5,0.005,26,041
1996-05-24,60.5,38.0,0.0,26,041
1996-05-25,61.5,35.5,0.0,26,041
1996-05-26,64.5,41.0,0.0,26,041
1996-05-27,68.5,40.5,0.0,26,041
1996-05-28,69.5,43.0,0.0,26,041
1996-05-29,69.5,39.0,0.0,26,041
1996-05-30,61.0,32.5,0.0,26,041
1996-05-31,64.0,40.0,0.0,26,041
1996-06-01,70.5,43.0,0.0,26,041
1996-06-02,69.0,44.5,1.27,26,041
1996-06-03,67.0,49.0,0.12,26,041
